26-Jul-2016,1141,906,769,369,41,3225
27-Jul-2016,1048,889,760,371,42,3110
28-Jul-2016,1056,890,774,379,44,3142
29-Jul-2016,1023,875,758,386,44,3085
30-Jul-2016,998,877,695,385,44,3041
31-Jul-2016,1009,833,695,369,42,2949
1-Aug-2016,1020,845,732,368,45,3010
2-Aug-2016,1023,826,736,365,47,2996
3-Aug-2016,1069,822,753,364,48,3056
4-Aug-2016,1114,831,788,372,45,3150
5-Aug-2016,1138,813,806,374,44,3175
6-Aug-2016,1091,798,799,363,45,3096
7-Aug-2016,1019,760,793,359,42,2973
8-Aug-2016,1050,794,848,360,46,3097
9-Aug-2016,1065,816,872,365,43,3161
10-Aug-2016,1050,813,886,365,45,3160
11-Aug-2016,988,835,901,366,46,3137
12-Aug-2016,967,843,902,367,46,3125
13-Aug-2016,993,848,887,385,47,3159
14-Aug-2016,984,838,830,370,47,3069
15-Aug-2016,971,800,812,367,45,2994
16-Aug-2016,1045,861,864,376,43,3188
17-Aug-2016,1046,887,884,355,47,3219
18-Aug-2016,1010,857,909,330,47,3153
19-Aug-2016,1026,878,923,366,48,3241
20-Aug-2016,1035,893,915,380,48,3272
21-Aug-2016,1015,900,897,368,45,3226
22-Aug-2016,1037,943,926,327,46,3278
23-Aug-2016,1045,936,938,370,48,3336
24-Aug-2016,1011,912,925,384,50,3281
25-Aug-2016,993,875,918,387,47,3219
26-Aug-2016,1028,876,901,376,42,3222
27-Aug-2016,1011,891,867,388,46,3203
28-Aug-2016,987,877,816,390,46,3115
29-Aug-2016,957,925,873,392,45,3191
30-Aug-2016,960,925,856,404,43,3188
31-Aug-2016,940,890,813,404,44,3115
1-Sep-2016,939,890,811,393,44,3076
2-Sep-2016,976,892,807,391,43,3132
3-Sep-2016,1012,907,825,380,45,3168
4-Sep-2016,1023,897,792,371,43,3127
5-Sep-2016,1068,906,800,363,43,3181
6-Sep-2016,1098,968,866,352,46,3329
7-Sep-2016,1131,996,897,356,45,3425
8-Sep-2016,1147,1033,917,369,46,3512
9-Sep-2016,1161,1043,913,376,47,3539
10-Sep-2016,1164,1052,901,376,46,3540
11-Sep-2016,1133,1017,830,370,45,3394
12-Sep-2016,1146,1069,856,373,45,3490
13-Sep-2016,1143,1064,842,371,44,3463
14-Sep-2016,1136,1027,808,373,46,3390
15-Sep-2016,1143,962,796,381,46,3328
16-Sep-2016,1138,954,799,383,45,3319
17-Sep-2016,1126,919,794,359,44,3242
18-Sep-2016,1102,894,791,357,42,3185
19-Sep-2016,1117,915,846,382,43,3303
20-Sep-2016,1145,928,857,390,44,3364
21-Sep-2016,1135,934,818,368,44,3300
22-Sep-2016,1084,938,801,379,44,3246
23-Sep-2016,1093,943,798,378,45,3255
24-Sep-2016,1063,927,803,368,43,3204
25-Sep-2016,1025,906,760,342,43,3075
26-Sep-2016,1059,940,803,364,44,3211
27-Sep-2016,1045,947,826,370,43,3231
28-Sep-2016,1043,958,821,362,47,3231
29-Sep-2016,1041,970,813,369,45,3233
30-Sep-2016,1043,962,819,375,45,3244
1-Oct-2016,1054,936,810,390,46,3235
2-Oct-2016,1028,881,760,380,46,3095
3-Oct-2016,1062,903,828,391,46,3231
4-Oct-2016,1058,894,869,399,45,3266
5-Oct-2016,1001,878,875,389,46,3189
6-Oct-2016,987,879,878,383,48,3175
7-Oct-2016,1008,880,897,386,46,3217
8-Oct-2016,997,887,865,370,46,3164
9-Oct-2016,967,864,809,350,40,3029
10-Oct-2016,969,900,795,337,40,3041
11-Oct-2016,915,834,804,331,36,2919
12-Oct-2016,922,880,838,338,36,3014
13-Oct-2016,924,922,839,348,40,3073
14-Oct-2016,912,936,854,353,42,3097
15-Oct-2016,925,949,870,346,43,3132
16-Oct-2016,888,938,841,348,44,3058
17-Oct-2016,905,978,891,361,44,3179
18-Oct-2016,912,996,907,375,44,3234
19-Oct-2016,913,1005,916,375,44,3254
20-Oct-2016,893,1001,901,377,43,3214
21-Oct-2016,909,1018,900,368,43,3237
22-Oct-2016,896,1031,870,369,42,3209
23-Oct-2016,876,1003,852,360,41,3132
24-Oct-2016,892,1045,884,361,41,3223
25-Oct-2016,884,1037,908,360,42,3231
26-Oct-2016,885,1040,913,359,43,3224
27-Oct-2016,883,1038,898,361,41,3221
28-Oct-2016,896,1029,885,365,40,3215
29-Oct-2016,884,987,849,362,41,3123
30-Oct-2016,823,897,793,353,42,2908
31-Oct-2016,784,850,822,357,41,2855
1-Nov-2016,799,876,824,362,42,2903
2-Nov-2016,828,929,845,352,42,2995
3-Nov-2016,837,963,851,350,41,3042
4-Nov-2016,852,982,864,351,40,3088
5-Nov-2016,856,992,866,339,41,3093
6-Nov-2016,826,985,840,324,36,3010
7-Nov-2016,833,1006,856,315,38,3048
8-Nov-2016,845,1023,881,317,39,3104
9-Nov-2016,839,1019,874,318,39,3060
10-Nov-2016,835,1025,874,318,39,3090
11-Nov-2016,842,1019,874,330,40,3105
12-Nov-2016,817,1010,865,324,39,3054
13-Nov-2016,791,983,821,313,37,3014
14-Nov-2016,800,1007,854,317,37,2946
15-Nov-2016,808,1014,866,318,39,3046
16-Nov-2016,801,1004,853,309,38,3013
17-Nov-2016,800,987,869,315,39,3010
18-Nov-2016,800,986,865,315,38,3004
19-Nov-2016,797,985,853,310,38,2984
20-Nov-2016,765,962,809,301,37,2873
21-Nov-2016,786,988,847,311,37,2969
22-Nov-2016,802,1012,863,306,38,3021
23-Nov-2016,805,1011,868,305,39,3028
24-Nov-2016,819,1012,868,296,39,3033
25-Nov-2016,806,1010,861,307,38,3022
26-Nov-2016,801,1007,849,309,38,3004
27-Nov-2016,788,989,816,304,37,2933
28-Nov-2016,812,1020,842,310,37,3022
29-Nov-2016,811,1029,861,308,39,3047
30-Nov-2016,756,1021,854,306,37,2974
1-Dec-2016,782,1016,814,307,38,2957
2-Dec-2016,801,1006,788,313,36,2945
3-Dec-2016,810,1007,772,312,37,2939
4-Dec-2016,798,977,740,295,37,2848
5-Dec-2016,820,1019,786,298,36,2958
6-Dec-2016,845,1023,753,305,37,2964
7-Dec-2016,836,1011,797,307,37,2988
8-Dec-2016,822,1014,826,308,38,3008
9-Dec-2016,846,1015,841,307,37,3047
10-Dec-2016,837,1001,826,305,38,3006
11-Dec-2016,818,980,780,300,37,2915
12-Dec-2016,820,1009,737,304,37,2906
13-Dec-2016,842,1008,681,300,37,2869
14-Dec-2016,849,1000,723,304,37,2913
15-Dec-2016,857,1023,751,300,38,2969
16-Dec-2016,866,1016,774,301,37,2994
17-Dec-2016,855,1014,782,302,38,2991
18-Dec-2016,832,990,754,291,37,2903
19-Dec-2016,849,1005,796,300,38,2988
20-Dec-2016,864,1013,808,306,39,3029
21-Dec-2016,875,1016,835,312,39,3077
22-Dec-2016,860,1018,842,313,38,3071
23-Dec-2016,859,1022,849,315,39,3084
24-Dec-2016,856,1009,840,313,39,3057
25-Dec-2016,828,1009,788,308,38,2946
26-Dec-2016,844,1006,834,312,36,3032
27-Dec-2016,848,1000,853,318,35,3055
28-Dec-2016,863,1004,855,319,36,3077
29-Dec-2016,852,1006,842,320,37,3057
30-Dec-2016,843,1009,845,315,37,3057
31-Dec-2016,840,995,847,317,39,3038
1-Jan-2017,837,965,788,313,36,2939
2-Jan-2017,849,992,837,318,37,3033
3-Jan-2017,863,1006,858,314,36,3077
4-Jan-2017,863,1006,869,319,35,3092
5-Jan-2017,881,1017,872,323,37,3129
6-Jan-2017,863,1019,872,321,37,3113
7-Jan-2017,792,1013,857,319,38,3018
8-Jan-2017,822,989,822,313,36,2982
9-Jan-2017,844,1002,854,317,36,3055
10-Jan-2017,865,989,868,317,39,3078
11-Jan-2017,876,999,869,320,38,3102
12-Jan-2017,883,1000,876,325,39,3123
13-Jan-2017,907,990,863,327,39,3126
14-Jan-2017,891,929,789,323,38,2969
15-Jan-2017,866,919,740,317,37,2880
16-Jan-2017,870,995,802,321,38,3026
17-Jan-2017,893,1008,829,322,39,3091
18-Jan-2017,898,1006,835,326,39,3104
19-Jan-2017,892,1007,840,330,39,3108
20-Jan-2017,909,1005,846,330,40,3130
21-Jan-2017,916,1013,829,329,40,3128
22-Jan-2017,878,1001,787,322,38,3025
23-Jan-2017,893,1032,836,327,38,3127
24-Jan-2017,901,1049,849,327,39,3164
25-Jan-2017,882,1053,865,328,39,3167
26-Jan-2017,692,973,812,324,38,2839
27-Jan-2017,695,971,831,322,38,2856
28-Jan-2017,801,984,831,324,39,2978
29-Jan-2017,789,998,796,321,38,2942
30-Jan-2017,812,1025,841,328,39,3045
31-Jan-2017,828,1039,864,329,39,3099
1-Feb-2017,831,1030,876,333,38,3107
2-Feb-2017,829,1040,875,328,39,3111
3-Feb-2017,835,1038,887,329,39,3128
4-Feb-2017,822,1032,870,328,40,3092
5-Feb-2017,785,1008,837,320,38,2989
6-Feb-2017,821,1026,870,325,39,3082
7-Feb-2017,846,1031,895,327,39,3137
8-Feb-2017,872,1043,895,330,39,3180
9-Feb-2017,860,1047,903,334,40,3172
10-Feb-2017,882,1040,904,331,39,3196
11-Feb-2017,872,1020,885,330,40,3148
12-Feb-2017,858,978,840,325,38,3038
13-Feb-2017,874,1018,872,330,39,3133
14-Feb-2017,873,1044,900,334,39,3191
15-Feb-2017,878,1055,896,332,40,3200
16-Feb-2017,891,1061,889,337,40,3217
17-Feb-2017,883,1054,890,337,40,3204
18-Feb-2017,879,1062,891,332,39,3203
19-Feb-2017,863,1048,856,327,38,3131
20-Feb-2017,872,1068,903,336,38,3217
21-Feb-2017,894,1067,925,341,34,3261
22-Feb-2017,908,1076,934,347,33,3298
23-Feb-2017,883,1082,942,344,34,3285
24-Feb-2017,869,1007,937,346,37,3195
25-Feb-2017,878,1065,909,343,38,3233
26-Feb-2017,862,1052,878,332,37,3162
27-Feb-2017,887,1080,915,339,39,3261
28-Feb-2017,907,1089,922,345,39,3302
1-Mar-2017,911,1088,923,346,39,3307
2-Mar-2017,895,1091,930,348,40,3303
3-Mar-2017,921,1085,934,351,37,3328
4-Mar-2017,912,1084,925,344,36,3301
5-Mar-2017,879,1046,888,340,33,3186
6-Mar-2017,895,1071,929,350,36,3281
7-Mar-2017,893,1072,934,355,37,3292
8-Mar-2017,863,1066,930,346,38,3242
9-Mar-2017,824,1070,942,345,37,3218
10-Mar-2017,747,1036,925,321,38,3067
11-Mar-2017,751,1013,922,311,34,3031
12-Mar-2017,773,974,885,308,35,2975
